,Company name,Category
0,AMBIUS LLC,1
1,ARTS & METIERS,2
2,ART & CARACTRE,2
3,ARTS,2
4,ART&CARACTERE,2
5,AGENCE 3MS,3
6,ARUN ELECTRICALS,4
7,ANAC,5
8,ANDY BOND,6
9,APODIUS,7
10,APEC,8
11,AICS PROTECTION,9
12,AUXIMAT LIMITED,10
13,ACTIVIUM ID,11
14,ACTIVIUM INFORMATION DESIGN,11
15,AXA MATRIX RISK CONSULTANTS,12
16,ADFORALL,13
17,AMETRA INGENIERIE,14
18,ARTVERA GMBH & CO KG,15
19,ASSOCIATION NATIONALE LE REFUGE,16
20,AQUITAINE NETTOYAGE SERV.,16
21,ALKAN R ET COMPAGNIE SA,16
22,ACTIVATION BUSINESS THEATRE,16
23,ALLIED DEFENSE SERVICES,16
24,ASSOCIATION HOPITAL SAINT JOSEPH,16
25,ALLIED MAINTENANCE,16
26,ASSOCIATION LES AILES BRISEES,16
27,ALKAN R ET COMPAGNIE,16
28,ATMOS SARL,17
29,ACCESS FRANCE,18
30,ALPHA TAXIS,19
31,ALEXANDER H LEVIS,20
32,ARIBA FRANCE,20
33,AMPHENOL GROUP,20
34,AQUINOV,21
35,AFNOR CERTIFICATION,22
36,ADRAR FORMATION,23
37,ASA2002,24
38,ASSOCIATION OF THE,25
39,AXEL DREYER,26
40,AALBOORG UNIVERSITY,27
41,AALBORG UNIVERSITY,27
42,AMBER INNOVATION,28
43,ALPENPARKS,29
44,ACCU VERTRIEB S++D GMBH,30
45,AKKA TECHNOLOGIES,31
46,AKKA TECHNOLOGIE,31
47,ALD AUTOMOTIVE,32
48,ALD AUTOMOTIVE - TEMSYS,32
49,TEMSYS - ALD AUTOMOTIVE,32
50,ALD AUTOMOTIVE SA,32
51,ALD AUTOMOTIVE TEMSYS,32
52,ADLON,33
53,ALLENOU HERVE,34
54,AMUNDI,35
55,AUTOPRIMA SA,36
56,ABBAKAN,37
57,ABBAKAN FRANCE,37
58,ASCO,38
59,ATHELIA ENTREPRENDRE,39
60,AVENCIS,40
61,ACCIPIO,41
62,AKKULINE,42
63,ASTE,43
64,ADESSO AG,44
65,ARPEGE,45
66,ATOS IT SERVICES LTD,46
67,AFPI MIDI-PYRENEES,47
68,AFPI MIDI PYRENEES,47
69,APLEONA R&M AUSBAU MNCHEN GMBH,48
70,APLEONA R&M AUSBAU MUENCHEN GMBH,48
71,APLEONA R&M AUSBAU MUNCHEN GMBH,48
72,APLEONA R&M AUSBAU MÃNCHEN GMB,48
73,AKKA INGENIERIE PRODUIT,49
74,AD INVADERS,50
75,AUCON GMBH,51
76,AVIAT NETWORKS,52
77,AVIAT NETWORKS FRANCE,52
78,ATMOS,53
79,ABSISKEY,54
